energy_tev,coefficient,value,error
13,c00,1.0,0.0
13,c10,-0.8650384025416517,0.0025151066890704695
13,c20,0.8722944181138217,0.0017409550623676987
13,c30,-0.25937524912464976,0.000325385826357915
13,c40,0.039535445059203755,5.430971278712643e-05
13,c01,-0.09145600756862514,0.0003187877520275826
13,c11,-0.1671579549796786,0.00020367145716770996
13,c21,0.04879345706667553,5.8716538819314326e-05
13,c02,0.016897896876611005,1.983247984544692e-05
13,d00,-2.83182968554223,0.004502029782717082
13,d10,-3.928409317603012,0.008782582185178533
13,d20,0.9008943535254709,0.0015239177380071414
13,d01,0.7935906956171649,0.001135483869110928
13,e00,15.818285760758107,0.02019084173999591
13.6,c00,1.0,0.0
13.6,c10,-0.8665643435215741,0.0038980883948816114
13.6,c20,0.8715021173299434,0.0023218438054820466
13.6,c30,-0.2572157334305458,0.00028257258009402786
13.6,c40,0.039071504737333874,6.651271639622655e-05
13.6,c01,-0.0909153596557514,0.0003766444056041076
13.6,c11,-0.16650084313312022,0.00018488777963200477
13.6,c21,0.048504221008084075,5.174978567932392e-05
13.6,c02,0.016863842366670833,1.746045295778542e-05
13.6,d00,-2.878715268364514,0.008032552780306488
13.6,d10,-3.9516540411377914,0.008912720817246667
13.6,d20,0.8971497162325919,0.0015158599613091692
13.6,d01,0.8000379393175024,0.0010190594636863622
13.6,e00,16.213061914686538,0.01783525197429051
14,c00,1.0,0.0
14,c10,-0.8539917780015761,0.006017501706261551
14,c20,0.8634397969122491,0.003407592738744048
14,c30,-0.2559342409367204,0.0001829632620736266
14,c40,0.03900777191052782,7.89922840635549e-05
14,c01,-0.09213870623940917,0.000398357828592694
14,c11,-0.16614524556419397,0.00016191138368668604
14,c21,0.04829482846930053,3.537099826841487e-05
14,c02,0.016855334921185704,1.0112093993759464e-05
14,d00,-2.951873557823359,0.008582455308172206
14,d10,-3.9389109204019666,0.0073449734067107236
14,d20,0.8998717685834473,0.0011966519093654549
14,d01,0.8033652649815033,0.0006858356487306502
14,e00,16.47338243719053,0.009695321826028933
