coefficient,c00,c10,c20,c30,c40,c01,c11,c21,c02,d00,d10,d20,d01,e00
c00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
c10,0.000000000000e+00,1.000000000000e+00,-8.645683829958e-01,2.121910779472e-01,3.704579570377e-01,-2.207066653246e-01,3.583041815564e-01,-2.390158392741e-01,-1.675766107540e-01,1.266835604305e-01,8.342076123522e-02,-1.668216444218e-01,-1.164356008571e-01,-2.024592394271e-01
c20,0.000000000000e+00,-8.645683829958e-01,1.000000000000e+00,-6.500575327633e-01,5.922050215744e-02,2.399718385046e-02,-7.420071115009e-01,6.412584729046e-01,5.904835126783e-01,-3.846691277526e-01,-3.379935338606e-01,4.518008112126e-01,4.840849994313e-01,6.150329457324e-01
c30,0.000000000000e+00,2.121910779472e-01,-6.500575327633e-01,1.000000000000e+00,-7.609807123193e-01,2.976639830356e-01,9.703264467501e-01,-9.519754509279e-01,-9.567109917991e-01,5.909981060625e-01,5.619514053917e-01,-6.707002432013e-01,-8.172254582441e-01,-9.450939017054e-01
c40,0.000000000000e+00,3.704579570377e-01,5.922050215744e-02,-7.609807123193e-01,1.000000000000e+00,-4.047587698615e-01,-6.711893329812e-01,7.518151203314e-01,7.920999866198e-01,-4.832867586592e-01,-4.402617445629e-01,5.595232618579e-01,6.920171985483e-01,7.729578359280e-01
c01,0.000000000000e+00,-2.207066653246e-01,2.399718385046e-02,2.976639830356e-01,-4.047587698615e-01,1.000000000000e+00,1.597221575001e-01,-5.001290493824e-01,-4.696585262632e-01,2.014958796288e-01,3.414907009113e-01,-2.775032237640e-01,-4.615623262005e-01,-3.222830032459e-01
c11,0.000000000000e+00,3.583041815564e-01,-7.420071115009e-01,9.703264467501e-01,-6.711893329812e-01,1.597221575001e-01,1.000000000000e+00,-9.199053942208e-01,-9.142907256287e-01,5.741838993116e-01,5.196975306937e-01,-6.349760636415e-01,-7.811805389657e-01,-9.182547580866e-01
c21,0.000000000000e+00,-2.390158392741e-01,6.412584729046e-01,-9.519754509279e-01,7.518151203314e-01,-5.001290493824e-01,-9.199053942208e-01,1.000000000000e+00,9.769956110863e-01,-5.811518746722e-01,-5.619950011457e-01,6.798988030687e-01,8.537996660029e-01,9.294295778461e-01
c02,0.000000000000e+00,-1.675766107540e-01,5.904835126783e-01,-9.567109917991e-01,7.920999866198e-01,-4.696585262632e-01,-9.142907256287e-01,9.769956110863e-01,1.000000000000e+00,-5.977779115209e-01,-5.802882654018e-01,6.914600860170e-01,8.572485607703e-01,9.559496412131e-01
d00,0.000000000000e+00,1.266835604305e-01,-3.846691277526e-01,5.909981060625e-01,-4.832867586592e-01,2.014958796288e-01,5.741838993116e-01,-5.811518746722e-01,-5.977779115209e-01,1.000000000000e+00,3.076003755490e-01,-5.038520555839e-01,-4.866146918600e-01,-6.271411325775e-01
d10,0.000000000000e+00,8.342076123522e-02,-3.379935338606e-01,5.619514053917e-01,-4.402617445629e-01,3.414907009113e-01,5.196975306937e-01,-5.619950011457e-01,-5.802882654018e-01,3.076003755490e-01,1.000000000000e+00,-5.809658913693e-02,-6.835799529565e-01,-5.598040194679e-01
d20,0.000000000000e+00,-1.668216444218e-01,4.518008112126e-01,-6.707002432013e-01,5.595232618579e-01,-2.775032237640e-01,-6.349760636415e-01,6.798988030687e-01,6.914600860170e-01,-5.038520555839e-01,-5.809658913693e-02,1.000000000000e+00,6.319799032803e-01,7.049402900711e-01
d01,0.000000000000e+00,-1.164356008571e-01,4.840849994313e-01,-8.172254582441e-01,6.920171985483e-01,-4.615623262005e-01,-7.811805389657e-01,8.537996660029e-01,8.572485607703e-01,-4.866146918600e-01,-6.835799529565e-01,6.319799032803e-01,1.000000000000e+00,8.214978057368e-01
e00,0.000000000000e+00,-2.024592394271e-01,6.150329457324e-01,-9.450939017054e-01,7.729578359280e-01,-3.222830032459e-01,-9.182547580866e-01,9.294295778461e-01,9.559496412131e-01,-6.271411325775e-01,-5.598040194679e-01,7.049402900711e-01,8.214978057368e-01,1.000000000000e+00
