coefficient,c00,c10,c20,c30,c40,c01,c11,c21,c02,d00,d10,d20,d01,e00
c00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
c10,0.000000000000e+00,1.519509313431e-05,-8.559431730509e-06,6.792362422758e-08,1.885920543150e-07,-4.604669329018e-08,1.893725177033e-07,-4.230752947301e-08,-3.983235107686e-09,1.252556083465e-06,-2.774998074541e-07,4.118253674642e-08,-2.227495947834e-07,-7.380054613284e-06
c20,0.000000000000e+00,-8.559431730509e-06,5.390958657055e-06,-2.419268484506e-07,-7.998490858018e-08,-3.272794991159e-08,-2.218715891052e-07,5.682933723839e-08,1.369596993957e-08,-2.753432892476e-06,-2.638061596987e-06,6.006447721592e-07,6.793099719882e-07,1.550660726666e-05
c30,0.000000000000e+00,6.792362422758e-08,-2.419268484506e-07,7.984726302100e-08,-1.021563280779e-08,2.159190030306e-08,4.621386985367e-08,-1.308828004855e-08,-4.427655110545e-09,7.989330277182e-07,1.092050045828e-06,-2.456487297077e-07,-2.179362281752e-07,-4.415495659639e-06
c40,0.000000000000e+00,1.885920543150e-07,-7.998490858018e-08,-1.021563280779e-08,4.423941442405e-09,-4.458352623530e-09,-4.541933084804e-09,1.502434691940e-09,6.289668149891e-10,-1.098151773565e-07,-1.658184991530e-07,4.156272154013e-08,3.170547686151e-08,6.023940256493e-07
c01,0.000000000000e+00,-4.604669329018e-08,-3.272794991159e-08,2.159190030306e-08,-4.458352623530e-09,1.418610082729e-07,7.211317516942e-10,-8.987133360274e-09,-1.325806183344e-09,2.822108496851e-07,3.338082360396e-07,-8.991654604403e-08,-8.623514542698e-08,-1.454410203881e-06
c11,0.000000000000e+00,1.893725177033e-07,-2.218715891052e-07,4.621386985367e-08,-4.541933084804e-09,7.211317516943e-10,3.418349105725e-08,-7.567741245334e-09,-2.744458708803e-09,4.871968712192e-07,7.181573174336e-07,-1.443179143101e-07,-1.286074127020e-07,-2.722856512464e-06
c21,0.000000000000e+00,-4.230752947301e-08,5.682933723839e-08,-1.308828004855e-08,1.502434691940e-09,-8.987133360274e-09,-7.567741245334e-09,2.678040317856e-09,7.935407056902e-10,-1.429009138059e-07,-1.772305789114e-07,4.685322782652e-08,3.882860747810e-08,7.937057160271e-07
c02,0.000000000000e+00,-3.983235107686e-09,1.369596993957e-08,-4.427655110545e-09,6.289668149891e-10,-1.325806183344e-09,-2.744458708803e-09,7.935407056902e-10,3.048674174910e-10,-4.979899601135e-08,-6.311377803241e-08,1.546095850703e-08,1.346766253899e-08,2.758694849193e-07
d00,0.000000000000e+00,1.252556083465e-06,-2.753432892476e-06,7.989330277182e-07,-1.098151773565e-07,2.822108496851e-07,4.871968712192e-07,-1.429009138059e-07,-4.979899601135e-08,6.452190416841e-05,3.801172316774e-06,-4.517160142340e-06,-1.680172345027e-06,-4.590573149809e-05
d10,0.000000000000e+00,-2.774998074541e-07,-2.638061596987e-06,1.092050045828e-06,-1.658184991530e-07,3.338082360396e-07,7.181573174336e-07,-1.772305789114e-07,-6.311377803241e-08,3.801172316774e-06,7.943659236618e-05,2.551309573853e-06,-4.655528828907e-06,-6.483755483174e-05
d20,0.000000000000e+00,4.118253674642e-08,6.006447721592e-07,-2.456487297077e-07,4.156272154013e-08,-8.991654604403e-08,-1.443179143101e-07,4.685322782652e-08,1.546095850703e-08,-4.517160142340e-06,2.551309573853e-06,2.297831422300e-06,6.300569269505e-07,1.668396618527e-05
d01,0.000000000000e+00,-2.227495947834e-07,6.793099719882e-07,-2.179362281752e-07,3.170547686151e-08,-8.623514542698e-08,-1.286074127020e-07,3.882860747810e-08,1.346766253899e-08,-1.680172345027e-06,-4.655528828907e-06,6.300569269505e-07,1.038482190529e-06,1.405370929682e-05
e00,0.000000000000e+00,-7.380054613284e-06,1.550660726666e-05,-4.415495659639e-06,6.023940256493e-07,-1.454410203881e-06,-2.722856512464e-06,7.937057160271e-07,2.758694849193e-07,-4.590573149809e-05,-6.483755483174e-05,1.668396618527e-05,1.405370929682e-05,3.180962129864e-04
