coefficient,c00,c10,c20,c30,c40,c01,c11,c21,c02,d00,d10,d20,d01,e00
c00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
c10,0.000000000000e+00,6.325761657407e-06,-3.785674964086e-06,1.736529488846e-07,5.060260162181e-08,-1.769593394580e-07,1.835432677160e-07,-3.529746704892e-08,-8.358855861530e-09,1.434448750842e-06,1.842692139833e-06,-6.393966172483e-07,-3.325241330488e-07,-1.028130961809e-05
c20,0.000000000000e+00,-3.785674964086e-06,3.030924529184e-06,-3.682459573340e-07,5.599344043980e-09,1.331832066778e-08,-2.631029995929e-07,6.555127221528e-08,2.038789361270e-08,-3.014971822407e-06,-5.167948481796e-06,1.198660217624e-06,9.569520019590e-07,2.161923719345e-05
c30,0.000000000000e+00,1.736529488846e-07,-3.682459573340e-07,1.058759359946e-07,-1.344775495501e-08,3.087639209651e-08,6.430528544965e-08,-1.818799506536e-08,-6.173854875990e-09,8.657511641294e-07,1.605904132016e-06,-3.325742492204e-07,-3.019405818615e-07,-6.209090886300e-06
c40,0.000000000000e+00,5.060260162181e-08,5.599344043980e-09,-1.344775495501e-08,2.949544903020e-09,-7.007698374510e-09,-7.424252303454e-09,2.397446967292e-09,8.531679523527e-10,-1.181655187967e-07,-2.099958338378e-07,4.630812287718e-08,4.267518013832e-08,8.475937292514e-07
c01,0.000000000000e+00,-1.769593394580e-07,1.331832066778e-08,3.087639209651e-08,-7.007698374510e-09,1.016256308428e-07,1.037043480884e-08,-9.361472269500e-09,-2.969346366470e-09,2.891852652061e-07,9.560987088643e-07,-1.348128171428e-07,-1.670755693052e-07,-2.074404538773e-06
c11,0.000000000000e+00,1.835432677160e-07,-2.631029995929e-07,6.430528544965e-08,-7.424252303454e-09,1.037043480884e-08,4.148206246482e-08,-1.100104100003e-08,-3.693103734365e-09,5.264892942266e-07,9.296148365093e-07,-1.970829475706e-07,-1.806602284018e-07,-3.776137350830e-06
c21,0.000000000000e+00,-3.529746704892e-08,6.555127221528e-08,-1.818799506536e-08,2.397446967292e-09,-9.361472269500e-09,-1.100104100003e-08,3.447631930920e-09,1.137706086690e-09,-1.536237824766e-07,-2.898111714058e-07,6.083678399644e-08,5.692426040348e-08,1.101872542629e-06
c02,0.000000000000e+00,-8.358855861530e-09,2.038789361270e-08,-6.173854875990e-09,8.531679523527e-10,-2.969346366470e-09,-3.693103734365e-09,1.137706086690e-09,3.933272568201e-10,-5.337344664365e-08,-1.010748330020e-07,2.089804507807e-08,1.930477548783e-08,3.827951801550e-07
d00,0.000000000000e+00,1.434448750842e-06,-3.014971822407e-06,8.657511641294e-07,-1.181655187967e-07,2.891852652061e-07,5.264892942266e-07,-1.536237824766e-07,-5.337344664365e-08,2.026827216447e-05,1.216234861296e-05,-3.456789407967e-06,-2.487565641360e-06,-5.700698524290e-05
d10,0.000000000000e+00,1.842692139833e-06,-5.167948481796e-06,1.605904132016e-06,-2.099958338378e-07,9.560987088643e-07,9.296148365093e-07,-2.898111714058e-07,-1.010748330020e-07,1.216234861296e-05,7.713374983942e-05,-7.775608436106e-07,-6.816987682973e-06,-9.926877432060e-05
d20,0.000000000000e+00,-6.393966172483e-07,1.198660217624e-06,-3.325742492204e-07,4.630812287718e-08,-1.348128171428e-07,-1.970829475706e-07,6.083678399644e-08,2.089804507807e-08,-3.456789407967e-06,-7.775608436106e-07,2.322325272213e-06,1.093567918873e-06,2.169043599472e-05
d01,0.000000000000e+00,-3.325241330488e-07,9.569520019590e-07,-3.019405818615e-07,4.267518013832e-08,-1.670755693052e-07,-1.806602284018e-07,5.692426040348e-08,1.930477548783e-08,-2.487565641360e-06,-6.816987682973e-06,1.093567918873e-06,1.289323617011e-06,1.883396683777e-05
e00,0.000000000000e+00,-1.028130961809e-05,2.161923719345e-05,-6.209090886300e-06,8.475937292514e-07,-2.074404538773e-06,-3.776137350830e-06,1.101872542629e-06,3.827951801550e-07,-5.700698524290e-05,-9.926877432060e-05,2.169043599472e-05,1.883396683777e-05,4.076700901696e-04
