energy_tev,run_name,k3,k4,fit_ratio,draft_eq9_ratio,relative_difference
13,ct3_ratefit_baseline_k3_m8_k4_m50,-8.0,-50.0,298.35928977829525,295.8748505400405,0.0083969260439678
13,ct3_ratefit_baseline_k3_m5_k4_m50,-5.0,-50.0,52.62831870699417,52.461358708864395,0.0031825328630226135
13,ct3_ratefit_baseline_k3_p1_k4_m50,1.0,-50.0,49.58490201781711,49.25237275437961,0.006751537943071595
13,ct3_ratefit_baseline_k3_p3_k4_m50,3.0,-50.0,57.00827486263513,56.516151598291316,0.00870765702239873
13,ct3_ratefit_baseline_k3_p6_k4_m50,6.0,-50.0,39.79943899692171,39.4671485768435,0.00841941797318424
13,ct3_ratefit_baseline_k3_m8_k4_p1,-8.0,1.0,527.2565106600842,523.7616727608295,0.006672572815099143
13,ct3_ratefit_baseline_k3_m5_k4_p1,-5.0,1.0,144.85903773290562,143.7587951914824,0.007653392892989608
13,ct3_ratefit_baseline_sm,1.0,1.0,0.9998169834741155,1.0,-0.00018301652588448292
13,ct3_ratefit_baseline_k3_p3_k4_p1,3.0,1.0,1.3168355986634341,1.340942354347858,-0.01797747353289303
13,ct3_ratefit_baseline_k3_p6_k4_p1,6.0,1.0,10.765196302972912,11.026840776149914,-0.023727963293250443
13,ct3_ratefit_baseline_k3_m8_k4_p50,-8.0,50.0,832.3103675705787,824.8812456898479,0.009006292626422718
13,ct3_ratefit_baseline_k3_m5_k4_p50,-5.0,50.0,315.99781239965694,313.6454288818658,0.007500136463576945
13,ct3_ratefit_baseline_k3_p1_k4_p50,1.0,50.0,37.24268410281585,36.80936599209164,0.01177195257362773
13,ct3_ratefit_baseline_k3_p3_k4_p50,3.0,50.0,30.581352410280072,30.498955640780117,0.0027016259333740855
13,ct3_ratefit_baseline_k3_p6_k4_p50,6.0,50.0,65.66610689495087,65.8713279982536,-0.0031154845292958866
13.6,ct3_ratefit_baseline_k3_m8_k4_m50,-8.0,-50.0,294.959655466534,291.5909009242809,0.011553016680475592
13.6,ct3_ratefit_baseline_k3_m5_k4_m50,-5.0,-50.0,52.20545411121669,51.8295570239355,0.007252562222509251
13.6,ct3_ratefit_baseline_k3_p1_k4_m50,1.0,-50.0,49.53474231161269,49.039346814924244,0.010102000309222703
13.6,ct3_ratefit_baseline_k3_p3_k4_m50,3.0,-50.0,56.90556934780257,56.308426327031725,0.010604860759253265
13.6,ct3_ratefit_baseline_k3_p6_k4_m50,6.0,-50.0,39.79065242032445,39.6213642624718,0.00427264838058572
13.6,ct3_ratefit_baseline_k3_m8_k4_p1,-8.0,1.0,522.4342631689826,516.5618549497935,0.011368257572483387
13.6,ct3_ratefit_baseline_k3_m5_k4_p1,-5.0,1.0,143.61721058865808,141.8148843151738,0.012709006407809254
13.6,ct3_ratefit_baseline_sm,1.0,1.0,0.9998292712656545,1.0,-0.0001707287343455377
13.6,ct3_ratefit_baseline_k3_p3_k4_p1,3.0,1.0,1.3202724958784888,1.3561375840935859,-0.026446496753549154
13.6,ct3_ratefit_baseline_k3_p6_k4_p1,6.0,1.0,10.73706306986138,10.951490228175594,-0.01957972420616727
13.6,ct3_ratefit_baseline_k3_m8_k4_p50,-8.0,50.0,825.3680818286471,814.3884973948457,0.01348199841835207
13.6,ct3_ratefit_baseline_k3_m5_k4_p50,-5.0,50.0,314.3254803641365,309.9494540155311,0.014118516073869714
13.6,ct3_ratefit_baseline_k3_p1_k4_p50,1.0,50.0,37.03977707539268,36.52262791208352,0.014159692028570037
13.6,ct3_ratefit_baseline_k3_p3_k4_p50,3.0,50.0,30.57184470763132,30.236919330046117,0.011076703083716444
13.6,ct3_ratefit_baseline_k3_p6_k4_p50,6.0,50.0,65.39868601858119,65.08400375301939,0.004835017015178744
14,ct3_ratefit_baseline_k3_m8_k4_m50,-8.0,-50.0,293.9844668598764,298.1086420252346,-0.013834470337190208
14,ct3_ratefit_baseline_k3_m5_k4_m50,-5.0,-50.0,52.08988942004123,53.22339048851503,-0.02129704737089977
14,ct3_ratefit_baseline_k3_p1_k4_m50,1.0,-50.0,49.38046342194528,50.251051439663534,-0.017324772174440395
14,ct3_ratefit_baseline_k3_p3_k4_m50,3.0,-50.0,57.02127965790517,57.67825946295697,-0.011390423552460671
14,ct3_ratefit_baseline_k3_p6_k4_m50,6.0,-50.0,39.993398638079604,40.69558799741184,-0.017254680270915257
14,ct3_ratefit_baseline_k3_m8_k4_p1,-8.0,1.0,520.7422799808692,527.6581405693951,-0.013106706893715292
14,ct3_ratefit_baseline_k3_m5_k4_p1,-5.0,1.0,142.82825286783554,144.91944354577805,-0.014430021443478158
14,ct3_ratefit_baseline_sm,1.0,1.0,0.9998056007858259,1.0,-0.00019439921417407913
14,ct3_ratefit_baseline_k3_p3_k4_p1,3.0,1.0,1.3220980878281208,1.3736654804270463,-0.03753999305776701
14,ct3_ratefit_baseline_k3_p6_k4_p1,6.0,1.0,10.70849726126073,11.243954221934649,-0.04762176633815818
14,ct3_ratefit_baseline_k3_m8_k4_p50,-8.0,50.0,823.0273004765309,831.9265812034942,-0.010697194834295654
14,ct3_ratefit_baseline_k3_m5_k4_p50,-5.0,50.0,313.1109784215798,316.740456163054,-0.011458838524895598
14,ct3_ratefit_baseline_k3_p1_k4_p50,1.0,50.0,36.99423633382889,37.40124555160142,-0.010882236988899008
14,ct3_ratefit_baseline_k3_p3_k4_p50,3.0,50.0,30.457550345647977,30.997978000647034,-0.017434287326346776
14,ct3_ratefit_baseline_k3_p6_k4_p50,6.0,50.0,65.09082731986436,66.66816968618568,-0.023659602082163667
