coefficient,c00,c10,c20,c30,c40,c01,c11,c21,c02,d00,d10,d20,d01,e00
c00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
c10,0.000000000000e+00,1.000000000000e+00,-9.457149371631e-01,6.166505887150e-02,7.273894925794e-01,-3.136282998323e-02,2.627586749167e-01,-2.097284885320e-01,-5.852329257946e-02,4.000293988474e-02,-7.987312936936e-03,6.969511346178e-03,-5.607453914931e-02,-1.061521129357e-01
c20,0.000000000000e+00,-9.457149371631e-01,1.000000000000e+00,-3.687406783412e-01,-5.179291650753e-01,-3.742435120405e-02,-5.168451989058e-01,4.729672123503e-01,3.378347251654e-01,-1.476345170352e-01,-1.274798748142e-01,1.706575941302e-01,2.871015008201e-01,3.744592280901e-01
c30,0.000000000000e+00,6.166505887150e-02,-3.687406783412e-01,1.000000000000e+00,-5.435388262943e-01,2.028753714898e-01,8.845738835705e-01,-8.950432185564e-01,-8.974045381382e-01,3.519871185861e-01,4.336129274508e-01,-5.734894376295e-01,-7.568326976269e-01,-8.761333171136e-01
c40,0.000000000000e+00,7.273894925794e-01,-5.179291650753e-01,-5.435388262943e-01,1.000000000000e+00,-1.779664793558e-01,-3.693412713284e-01,4.364981050903e-01,5.415861396965e-01,-2.055436642732e-01,-2.797164399664e-01,4.122305850084e-01,4.677675365473e-01,5.078047065117e-01
c01,0.000000000000e+00,-3.136282998323e-02,-3.742435120405e-02,2.028753714898e-01,-1.779664793558e-01,1.000000000000e+00,1.035559101633e-02,-4.610851227379e-01,-2.016011536876e-01,9.328001286301e-02,9.943865096544e-02,-1.574885603115e-01,-2.246742250920e-01,-2.165090938171e-01
c11,0.000000000000e+00,2.627586749167e-01,-5.168451989058e-01,8.845738835705e-01,-3.693412713284e-01,1.035559101633e-02,1.000000000000e+00,-7.909508769605e-01,-8.501449672713e-01,3.280520045004e-01,4.358139024936e-01,-5.149356440071e-01,-6.825874008703e-01,-8.257285473881e-01
c21,0.000000000000e+00,-2.097284885320e-01,4.729672123503e-01,-8.950432185564e-01,4.364981050903e-01,-4.610851227379e-01,-7.909508769605e-01,1.000000000000e+00,8.782236898285e-01,-3.437738695000e-01,-3.842552392191e-01,5.972716186375e-01,7.362812375050e-01,8.599470343072e-01
c02,0.000000000000e+00,-5.852329257946e-02,3.378347251654e-01,-8.974045381382e-01,5.415861396965e-01,-2.016011536876e-01,-8.501449672713e-01,8.782236898285e-01,1.000000000000e+00,-3.550679667876e-01,-4.055630395657e-01,5.841465642714e-01,7.568977134028e-01,8.858677850504e-01
d00,0.000000000000e+00,4.000293988474e-02,-1.476345170352e-01,3.519871185861e-01,-2.055436642732e-01,9.328001286301e-02,3.280520045004e-01,-3.437738695000e-01,-3.550679667876e-01,1.000000000000e+00,5.309500511318e-02,-3.709819823378e-01,-2.052582953090e-01,-3.204306678095e-01
d10,0.000000000000e+00,-7.987312936934e-03,-1.274798748142e-01,4.336129274508e-01,-2.797164399664e-01,9.943865096544e-02,4.358139024936e-01,-3.842552392191e-01,-4.055630395657e-01,5.309500511318e-02,1.000000000000e+00,1.888399052615e-01,-5.125770897408e-01,-4.078843816705e-01
d20,0.000000000000e+00,6.969511346179e-03,1.706575941301e-01,-5.734894376295e-01,4.122305850084e-01,-1.574885603115e-01,-5.149356440071e-01,5.972716186375e-01,5.841465642714e-01,-3.709819823378e-01,1.888399052615e-01,1.000000000000e+00,4.078694545698e-01,6.171077059456e-01
d01,0.000000000000e+00,-5.607453914931e-02,2.871015008201e-01,-7.568326976269e-01,4.677675365473e-01,-2.246742250920e-01,-6.825874008703e-01,7.362812375050e-01,7.568977134028e-01,-2.052582953090e-01,-5.125770897408e-01,4.078694545698e-01,1.000000000000e+00,7.732362215603e-01
e00,0.000000000000e+00,-1.061521129357e-01,3.744592280901e-01,-8.761333171136e-01,5.078047065117e-01,-2.165090938171e-01,-8.257285473881e-01,8.599470343072e-01,8.858677850504e-01,-3.204306678095e-01,-4.078843816705e-01,6.171077059456e-01,7.732362215603e-01,1.000000000000e+00
