coefficient,c00,c10,c20,c30,c40,c01,c11,c21,c02,d00,d10,d20,d01,e00
c00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
c10,0.000000000000e+00,1.000000000000e+00,-9.681062906836e-01,2.796159862524e-01,9.131753786219e-01,-3.183793375803e-01,6.677190096534e-01,-4.734729290620e-01,3.764409364316e-03,5.713510495193e-03,3.031271058595e-03,-1.329847329298e-02,-1.006684284328e-02,-3.313149840538e-02
c20,0.000000000000e+00,-9.681062906836e-01,1.000000000000e+00,-4.429871423323e-01,-9.066366527247e-01,3.192405943024e-01,-7.425246119712e-01,5.553035731445e-01,7.470140880051e-02,-2.168714142476e-02,-3.452134659967e-02,5.839657290178e-02,8.066813556632e-02,1.278393832783e-01
c30,0.000000000000e+00,2.796159862524e-01,-4.429871423323e-01,1.000000000000e+00,9.011907560683e-02,-1.117460448718e-01,7.706814721757e-01,-7.554668835921e-01,-6.277603174804e-01,1.162729277529e-01,2.193012022795e-01,-3.541764755511e-01,-5.031294077067e-01,-6.813196180228e-01
c40,0.000000000000e+00,9.131753786219e-01,-9.066366527247e-01,9.011907560683e-02,1.000000000000e+00,-3.236465741830e-01,4.603389626878e-01,-2.372081464653e-01,2.432913583971e-01,-3.693597104415e-02,-7.377071276077e-02,1.137663397584e-01,1.630960105532e-01,2.148237465904e-01
c01,0.000000000000e+00,-3.183793375803e-01,3.192405943024e-01,-1.117460448718e-01,-3.236465741830e-01,1.000000000000e+00,-4.306045321047e-01,-2.782235462484e-01,-7.188324696876e-02,1.764837351075e-02,1.974491804058e-01,5.340809320242e-02,-2.108072357906e-01,-1.073112457839e-01
c11,0.000000000000e+00,6.677190096534e-01,-7.425246119712e-01,7.706814721757e-01,4.603389626878e-01,-4.306045321047e-01,1.000000000000e+00,-5.920479641020e-01,-4.514135514134e-01,8.053305994278e-02,1.359534757910e-01,-2.589918003695e-01,-3.596829151560e-01,-4.805987437689e-01
c21,0.000000000000e+00,-4.734729290620e-01,5.553035731445e-01,-7.554668835921e-01,-2.372081464653e-01,-2.782235462484e-01,-5.920479641020e-01,1.000000000000e+00,6.262503620249e-01,-1.072606918754e-01,-2.915479282112e-01,2.476603216452e-01,5.125181607646e-01,6.267444558123e-01
c02,0.000000000000e+00,3.764409364315e-03,7.470140880051e-02,-6.277603174804e-01,2.432913583970e-01,-7.188324696876e-02,-4.514135514134e-01,6.262503620249e-01,1.000000000000e+00,-1.310714781363e-01,-3.444855598110e-01,2.786898186248e-01,6.166050231132e-01,7.768512083531e-01
d00,0.000000000000e+00,5.713510495193e-03,-2.168714142476e-02,1.162729277529e-01,-3.693597104415e-02,1.764837351075e-02,8.053305994278e-02,-1.072606918754e-01,-1.310714781363e-01,1.000000000000e+00,-1.156745266834e-01,-3.006863648781e-01,5.050071699404e-02,-1.260207719821e-01
d10,0.000000000000e+00,3.031271058596e-03,-3.452134659967e-02,2.193012022795e-01,-7.377071276077e-02,1.974491804058e-01,1.359534757910e-01,-2.915479282112e-01,-3.444855598110e-01,-1.156745266834e-01,1.000000000000e+00,4.517142367326e-01,-3.873273459959e-01,-2.569342095962e-01
d20,0.000000000000e+00,-1.329847329298e-02,5.839657290178e-02,-3.541764755511e-01,1.137663397584e-01,5.340809320242e-02,-2.589918003695e-01,2.476603216452e-01,2.786898186248e-01,-3.006863648781e-01,4.517142367326e-01,1.000000000000e+00,2.301617248882e-01,3.494510956874e-01
d01,0.000000000000e+00,-1.006684284328e-02,8.066813556632e-02,-5.031294077067e-01,1.630960105532e-01,-2.108072357906e-01,-3.596829151560e-01,5.125181607646e-01,6.166050231132e-01,5.050071699404e-02,-3.873273459959e-01,2.301617248882e-01,1.000000000000e+00,6.383186055482e-01
e00,0.000000000000e+00,-3.313149840538e-02,1.278393832783e-01,-6.813196180228e-01,2.148237465904e-01,-1.073112457839e-01,-4.805987437689e-01,6.267444558123e-01,7.768512083531e-01,-1.260207719821e-01,-2.569342095962e-01,3.494510956874e-01,6.383186055482e-01,1.000000000000e+00
