coefficient,c00,c10,c20,c30,c40,c01,c11,c21,c02,d00,d10,d20,d01,e00
c00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
c10,0.000000000000e+00,6.332396138170e-06,-3.802652312044e-06,1.787860264068e-07,4.988645186515e-08,-1.751974801191e-07,1.865897782598e-07,-3.618889264953e-08,-8.675495216999e-09,1.541983038374e-06,1.955780874985e-06,-6.659698906633e-07,-3.507223373320e-07,-1.083007739049e-05
c20,0.000000000000e+00,-3.802652312044e-06,3.065758235624e-06,-3.781172417603e-07,6.927401686468e-09,1.008801837988e-08,-2.690168646400e-07,6.726969656907e-08,2.099571250310e-08,-3.221996223724e-06,-5.384989564663e-06,1.249866441482e-06,9.918501822235e-07,2.267545617572e-05
c30,0.000000000000e+00,1.787860264068e-07,-3.781172417603e-07,1.086047114331e-07,-1.380920160299e-08,3.175274980825e-08,6.594552412034e-08,-1.866335024508e-08,-6.341734231149e-09,9.230063324451e-07,1.665858025082e-06,-3.467393837395e-07,-3.115761715827e-07,-6.501167892274e-06
c40,0.000000000000e+00,4.988645186515e-08,6.927401686468e-09,-1.380920160299e-08,2.996799369374e-09,-7.122228270975e-09,-7.641887356808e-09,2.460366994329e-09,8.753694423792e-10,-1.257416887562e-07,-2.179322489331e-07,4.818179146364e-08,4.394913381315e-08,8.862384248179e-07
c01,0.000000000000e+00,-1.751974801191e-07,1.008801837988e-08,3.175274980825e-08,-7.122228270975e-09,1.018607544410e-07,1.090140231034e-08,-9.512103670929e-09,-3.022672593506e-09,3.075350800468e-07,9.750990401400e-07,-1.393399756346e-07,-1.701295583123e-07,-2.168000553430e-06
c11,0.000000000000e+00,1.865897782598e-07,-2.690168646400e-07,6.594552412034e-08,-7.641887356808e-09,1.090140231034e-08,4.246677911703e-08,-1.128679569315e-08,-3.794043639650e-09,5.609086409909e-07,9.656775871330e-07,-2.056005872736e-07,-1.864536665712e-07,-3.951715166730e-06
c21,0.000000000000e+00,-3.618889264953e-08,6.726969656907e-08,-1.866335024508e-08,2.460366994329e-09,-9.512103670929e-09,-1.128679569315e-08,3.530277454817e-09,1.166911887196e-09,-1.635936414305e-07,-3.002473820326e-07,6.330225658924e-08,5.860017849744e-08,1.152728986822e-06
c02,0.000000000000e+00,-8.675495216999e-09,2.099571250310e-08,-6.341734231149e-09,8.753694423792e-10,-3.022672593506e-09,-3.794043639650e-09,1.166911887196e-09,4.036383271271e-10,-5.689231532553e-08,-1.047584626012e-07,2.176841730858e-08,1.989661345421e-08,4.007458868240e-07
d00,0.000000000000e+00,1.541983038374e-06,-3.221996223724e-06,9.230063324451e-07,-1.257416887562e-07,3.075350800468e-07,5.609086409909e-07,-1.635936414305e-07,-5.689231532553e-08,2.145447062807e-05,1.341624842386e-05,-3.752267201970e-06,-2.689277577693e-06,-6.309996227233e-05
d10,0.000000000000e+00,1.955780874985e-06,-5.384989564663e-06,1.665858025082e-06,-2.179322489331e-07,9.750990401400e-07,9.656775871330e-07,-3.002473820326e-07,-1.047584626012e-07,1.341624842386e-05,7.842221688560e-05,-1.090188636253e-06,-7.027332785375e-06,-1.056663080182e-04
d20,0.000000000000e+00,-6.659698906633e-07,1.249866441482e-06,-3.467393837395e-07,4.818179146364e-08,-1.393399756346e-07,-2.056005872736e-07,6.330225658924e-08,2.176841730858e-08,-3.752267201970e-06,-1.090188636253e-06,2.394999716232e-06,1.143441516626e-06,2.320035770349e-05
d01,0.000000000000e+00,-3.507223373320e-07,9.918501822235e-07,-3.115761715827e-07,4.394913381315e-08,-1.701295583123e-07,-1.864536665712e-07,5.860017849744e-08,1.989661345421e-08,-2.689277577693e-06,-7.027332785375e-06,1.143441516626e-06,1.323109917802e-06,1.986304749976e-05
e00,0.000000000000e+00,-1.083007739049e-05,2.267545617572e-05,-6.501167892274e-06,8.862384248179e-07,-2.168000553430e-06,-3.951715166730e-06,1.152728986822e-06,4.007458868240e-07,-6.309996227233e-05,-1.056663080182e-04,2.320035770349e-05,1.986304749976e-05,4.387891453250e-04
