# 13 TeV production grid: CT1=1 and CT3=0 are enforced by the driver.
name,k3,k4,ct2
k3_m8_k4_p50_ct2_m0p3,-8,50,-0.3
k3_m8_k4_p50_ct2_p0p6,-8,50,0.6
k3_m8_k4_p50_ct2_m4,-8,50,-4.0
k3_m8_k4_p50_ct2_p4,-8,50,4.0
k3_p6_k4_p50_ct2_m0p3,6,50,-0.3
k3_p6_k4_p50_ct2_p0p6,6,50,0.6
k3_p6_k4_p50_ct2_m4,6,50,-4.0
k3_p6_k4_p50_ct2_p4,6,50,4.0
k3_m5_k4_m50_ct2_m0p3,-5,-50,-0.3
k3_m5_k4_m50_ct2_p0p6,-5,-50,0.6
k3_m5_k4_m50_ct2_m4,-5,-50,-4.0
k3_m5_k4_m50_ct2_p4,-5,-50,4.0
k3_p3_k4_m50_ct2_m0p3,3,-50,-0.3
k3_p3_k4_m50_ct2_p0p6,3,-50,0.6
k3_p3_k4_m50_ct2_m4,3,-50,-4.0
k3_p3_k4_m50_ct2_p4,3,-50,4.0
