# Publication-rate fit baseline grid. k3/k4 are physical kappas.
# The driver writes D3=k3-1, D4=k4-1 and fixes CT1=CT2=0.
name,k3,k4,ct3
ratefit_baseline_k3_m8_k4_m50,-8,-50,0
ratefit_baseline_k3_m5_k4_m50,-5,-50,0
ratefit_baseline_k3_p1_k4_m50,1,-50,0
ratefit_baseline_k3_p3_k4_m50,3,-50,0
ratefit_baseline_k3_p6_k4_m50,6,-50,0
ratefit_baseline_k3_m8_k4_p1,-8,1,0
ratefit_baseline_k3_m5_k4_p1,-5,1,0
ratefit_baseline_sm,1,1,0
ratefit_baseline_k3_p3_k4_p1,3,1,0
ratefit_baseline_k3_p6_k4_p1,6,1,0
ratefit_baseline_k3_m8_k4_p50,-8,50,0
ratefit_baseline_k3_m5_k4_p50,-5,50,0
ratefit_baseline_k3_p1_k4_p50,1,50,0
ratefit_baseline_k3_p3_k4_p50,3,50,0
ratefit_baseline_k3_p6_k4_p50,6,50,0
